Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3201308001,Cruzeiro do Sul - Cariacica,1431,201,1099,329,962,416,1412,1427,2.95,4218,4215,3736,3623,96.98,3988,3841,2130.86,1530,1205.14,800,144,25,55,1997,2221,482,656,697,689,683,502,289,220
3201308002,Vasco da Gama - Cariacica,392,58,372,20,296,95,320,390,2.95,1158,1158,1013,978,96.54,1081,1035,2011.79,1530,1133.08,835,29,2,8,526,632,145,154,214,197,155,140,76,77
3201308003,São Francisco - Cariacica,2162,311,1421,729,1576,503,2083,2162,2.96,6434,6398,5551,5371,96.76,5996,5718,1917.97,1500,1097.38,750,251,39,40,3078,3356,883,1032,1272,1098,933,695,330,191
3201308004,Vila Palestina - Cariacica,1007,144,761,232,610,318,1002,1007,2.94,2966,2958,2659,2560,96.28,2805,2664,2446.75,2000,1372.84,1000,58,27,65,1435,1531,307,412,614,517,439,338,212,127
3201308005,Rosa da Penha - Cariacica,1230,133,1093,106,895,280,1216,1227,3.1,3812,3809,3317,3181,95.9,3569,3380,1986.06,1600,1127.53,800,106,18,65,1820,1992,495,579,696,702,529,405,252,154
3201308006,Itapemirim - Cariacica,802,88,768,33,623,103,736,774,3.16,2535,2535,2145,2010,93.71,2344,2148,1595.42,1290,896.03,600,124,4,19,1227,1308,390,444,486,444,319,260,124,68
3201308007,Jardim Botanico - Cariacica,2046,203,2005,7,1669,261,1572,1913,3.53,7236,7231,5853,5422,92.64,6549,5863,1261.36,1090,723.67,590,356,5,93,3549,3687,1383,1478,1470,1041,898,552,263,151
3201308008,Santa Barbara - Cariacica,1653,178,1545,104,1313,293,1413,1551,3.17,5240,5231,4451,4271,95.96,4829,4520,1675.56,1400,942.24,700,229,6,49,2559,2681,789,929,1032,909,775,452,229,125
3201308009,Morada de Santa Fé - Cariacica,2071,249,1520,508,1523,467,2021,2069,3.03,6272,6265,5492,5341,97.25,5860,5634,2353.6,1900,1298.7,914,150,54,79,3020,3252,780,934,1177,1147,921,658,402,253
3201308010,Santa Paula - Cariacica,147,19,147,-,126,15,15,146,3.2,473,470,404,353,87.38,443,369,1253.41,1020,795.16,600,22,-,7,228,245,69,101,77,81,61,43,29,12
3201308011,Santa Catarina - Cariacica,1241,142,1136,105,923,208,676,1187,3.28,4078,4075,3361,3134,93.25,3717,3373,1346.59,1133,778.02,580,227,3,49,1992,2086,717,772,776,681,496,344,187,105
3201308012,Vista Linda - Cariacica,394,43,389,1,358,18,213,347,3.55,1398,1398,1098,983,89.53,1275,1097,1101.53,1020,665.65,510,83,-,17,678,720,300,286,232,232,139,112,48,49
3201308013,Vila Isabel - Cariacica,600,61,565,5,489,67,470,493,3.37,2025,2021,1641,1504,91.65,1839,1633,1262.92,1020,756.92,570,136,2,17,994,1031,384,395,356,346,231,161,93,59
3201308014,Bandeirantes - Cariacica,1664,162,1646,16,1288,246,1461,1601,3.28,5468,5463,4616,4316,93.5,5027,4599,1431.2,1210,789.34,600,241,3,35,2668,2800,852,986,1072,899,733,567,211,148
3201308015,Caçaroca - Cariacica,125,17,125,-,100,12,13,99,3.49,436,436,352,337,95.74,402,371,1386.57,1250,763.53,580,26,-,2,214,222,84,82,85,64,58,31,17,15
3201308016,Alzira Ramos - Cariacica,628,85,627,1,520,52,55,418,3.3,2075,2075,1680,1536,91.43,1887,1660,1083.18,1000,678.88,510,185,-,27,1088,987,395,397,356,332,243,189,106,57
3201308017,Jardim de Alah - Cariacica,682,69,681,-,581,69,441,614,3.33,2271,2268,1882,1735,92.19,2081,1853,1365.41,1110,749.98,580,101,3,18,1118,1153,389,429,440,381,263,201,105,63
3201308018,Padre Gabriel - Cariacica,1330,163,1329,1,1160,136,1149,1286,3.54,4710,4703,3633,3227,88.82,4187,3475,1111.44,955,681.46,510,357,4,61,2352,2358,1077,989,915,605,548,324,155,97
3201308019,Jardim Campo Grande - Cariacica,866,101,857,1,691,97,57,670,3.41,2957,2957,2377,2203,92.68,2654,2383,1162.48,1020,701.54,510,208,1,28,1458,1499,580,611,516,485,314,255,128,68
3201308020,Campo Belo - Cariacica,368,41,368,-,320,44,285,352,3.42,1257,1256,1048,978,93.32,1155,1046,1370.46,1160,794.11,600,56,1,13,632,625,209,265,232,202,143,106,61,39
3201308021,São Benedito - Cariacica,546,53,538,5,459,75,518,536,3.29,1797,1796,1505,1424,94.62,1662,1544,1286.51,1022,752.07,511,80,3,28,865,932,292,314,342,297,232,163,88,69
3201308022,Castelo Branco - Cariacica,2855,293,2780,60,2241,403,2392,2721,3.31,9451,9448,7751,7242,93.43,8642,7824,1327.95,1110,775.03,600,485,4,69,4603,4848,1700,1797,1723,1640,1036,845,423,287
3201308023,Vista Mar - Cariacica,1906,213,1882,19,1563,262,1650,1828,3.27,6224,6224,5199,4907,94.38,5729,5288,1473.51,1200,847.21,600,309,5,62,2962,3262,1025,1078,1248,1039,754,658,247,175
3201308024,Sotelandia - Cariacica,658,69,655,3,500,121,521,632,3.28,2160,2155,1761,1658,94.15,1956,1794,1364.78,1154,791.73,600,108,1,19,1035,1125,399,389,421,347,269,203,72,60
3201308025,Bela Aurora - Cariacica,1877,230,1774,98,1465,366,1775,1865,3.1,5827,5824,5026,4816,95.82,5453,5141,1713.29,1410,995.95,700,227,15,90,2814,3013,801,927,1073,896,862,612,355,301
3201308026,Maracanã - Cariacica,786,67,764,22,602,112,730,779,3.27,2570,2567,2175,2079,95.59,2392,2239,1652.73,1310,964.45,700,100,8,23,1269,1301,395,473,455,427,373,251,127,69
3201308027,Boa Sorte - Cariacica,1584,178,1344,239,1175,227,1513,1536,3.13,4954,4954,4263,4112,96.46,4624,4385,1617.51,1400,923.29,700,179,11,64,2441,2513,691,829,951,833,699,490,278,183
3201308028,São Conrado - Cariacica,573,48,493,54,473,91,435,571,3.41,1978,1953,1670,1579,94.55,1829,1707,1592.11,1267.5,963.78,600,58,6,49,977,1001,308,376,336,303,312,176,100,67
3201308029,Vera Cruz - Cariacica,828,83,744,81,567,188,793,822,3.14,2601,2597,2268,2195,96.78,2435,2316,2233,1755,1221.41,880,61,14,22,1256,1345,333,409,487,368,439,270,149,146
3201308030,Jardim América - Cariacica,2677,363,2359,316,1829,730,2533,2676,3,8069,8025,7102,6975,98.21,7603,7352,2775.75,2020,1496.6,1000,173,114,35,3732,4337,967,1105,1349,1289,1186,941,619,613
3201308031,Chácaras União - Cariacica,37,2,37,-,33,-,31,37,3.59,133,133,116,98,84.48,126,106,1287.73,1020,768.48,510,4,-,3,73,60,17,31,20,18,19,18,6,4
3201308032,São Geraldo - Cariacica,1568,202,1117,441,1153,350,1529,1566,3.02,4736,4735,4159,4053,97.45,4431,4270,2198.46,1770,1216.98,850,133,31,48,2304,2432,577,735,835,812,750,517,311,199
3201308033,Parque Gramado - Cariacica,312,37,309,2,237,48,246,284,3.31,1038,1032,871,813,93.34,957,874,1396.99,1200,836.3,600,58,-,9,519,519,167,226,168,182,137,89,40,29
3201308034,Rio Marinho - Cariacica,1566,141,1531,12,1254,227,1118,1524,3.4,5335,5328,4407,4115,93.37,4867,4412,1377.05,1200,794.15,600,231,4,87,2629,2706,928,1015,1076,881,662,426,219,128
3201308035,Área Não Identificada 2/2 - Cariacica,6,2,6,-,3,-,1,2,3,18,18,13,11,84.62,17,14,1238.33,605,928.75,605,3,-,-,11,7,5,1,4,2,3,1,-,2
3201308036,Área Não Identificada 1/2 - Cariacica,49,4,49,-,43,2,-,13,3.35,177,164,153,132,86.27,166,142,1550.37,1020,926.44,510,10,-,5,101,76,24,32,31,33,14,12,18,13
3201308037,Alice Coutinho - Cariacica,302,45,302,-,275,19,34,213,3.45,1043,1042,790,695,87.97,909,752,753.52,650,578.87,510,106,-,33,494,549,253,214,202,173,92,54,36,19
3201308038,Antônio Ferreira Borges - Cariacica,506,46,506,-,426,40,276,436,3.43,1738,1738,1471,1358,92.32,1624,1459,1497.56,1200,790.16,570,84,4,15,866,872,267,298,358,245,239,154,94,83
3201308039,Cariacica Sede - Cariacica,1918,200,1889,9,1670,175,948,1687,3.33,6555,6379,5650,5340,94.51,6123,5720,1831.7,1400,1011.24,700,212,33,69,3221,3334,905,1096,1177,1106,858,645,406,362
3201308040,Prolar - Cariacica,986,94,982,3,818,136,357,862,3.33,3292,3284,2699,2471,91.55,3010,2675,1235.76,1020,739.37,568.5,180,3,51,1613,1679,593,639,604,547,420,278,108,103
3201308041,Vila Merlo - Cariacica,700,68,698,1,596,82,133,628,3.2,2264,2241,1915,1758,91.8,2089,1866,1541.29,1200,894.23,640,111,3,19,1106,1158,349,378,429,384,298,228,117,81
3201308042,Porto de Cariacica - Cariacica,1311,144,1310,1,1110,142,451,1100,3.33,4376,4368,3624,3320,91.61,3995,3561,1367.43,1040,830.63,600,224,10,52,2166,2210,752,825,795,717,482,426,224,155
3201308043,Santa Luzia - Cariacica,686,59,678,7,594,63,529,621,3.42,2602,2342,2191,2028,92.56,2417,2179,1364.1,1110,788.68,600,110,2,23,1340,1262,411,633,462,367,306,244,112,67
3201308044,São João Batista - Cariacica,612,80,609,3,492,82,444,442,3.27,2005,2002,1674,1511,90.26,1854,1622,1391.5,1031,802.96,600,137,3,16,991,1014,331,358,371,317,250,163,118,97
3201308045,Tucum - Cariacica,894,113,884,2,713,115,664,813,3.07,2915,2738,2538,2380,93.77,2720,2492,1879.53,1476,1058,700,101,9,23,1489,1426,377,500,464,430,480,340,160,164
3201308046,Itaciba - Cariacica,2525,288,2310,178,1927,469,2244,2482,3.15,7953,7946,6927,6696,96.67,7450,7083,2004.15,1530,1095.06,750,252,34,95,3826,4127,1026,1237,1481,1229,1136,918,530,396
3201308047,Nova Brasília - Cariacica,1832,199,1747,84,1518,284,1673,1812,3.15,5766,5762,5054,4896,96.87,5415,5197,1799.84,1500,1049.63,760,202,17,80,2769,2997,712,923,1024,950,802,684,397,274
3201308048,Oriente - Cariacica,1468,179,1450,3,1233,170,1360,1405,3.14,4612,4602,3968,3739,94.23,4291,3975,1555.56,1300,886.46,645,206,8,47,2239,2373,644,766,902,705,644,474,260,217
3201308049,Alto Lage - Cariacica,2153,273,2023,129,1436,446,2005,2109,3.04,6551,6549,5776,5596,96.88,6164,5882,2354.56,1710,1270.94,810,200,56,43,3116,3435,775,991,1179,985,994,783,408,436
3201308050,Expedito - Cariacica,728,89,724,2,567,83,728,726,3.14,2286,2286,2003,1923,96.01,2149,2036,1878.08,1530,1083.4,800,71,10,41,1092,1194,283,356,385,381,322,280,156,123
